model name: ../saved_model/02_06_2022_05_56_14_MITOR_V2.obj
data: ../data/flu_datasets/2011-2012_flu_normalized.mat
w_from_matlab: False
break_on: True
rho 10
lr for ADMM: 0.8
alpha: 0
beta: 0.001
tol_L: 0.001
tor_r: 1e-10
tol_s: 1e-10
tol_r_s: 10
ADI: 5000
Max_iteration: 1000
2022-06-02 05:56:17,899 : Model Initialized
2022-06-02 06:18:07,241 : ADMM iteration: 28, Max iteration: 4, r-residual: 3.863596E-2, s-residual: 3.971443E-3, rho: 0.3125, mze: 0.13800039887428284, mae: 0.24229788780212402, time taken 27.340010899999925
2022-06-02 06:18:34,802 : ADMM iteration: 29, Max iteration: 4, r-residual: 3.382007E-2, s-residual: 3.934124E-3, rho: 0.3125, mze: 0.13800039887428284, mae: 0.24229788780212402, time taken 27.511769300000196
2022-06-02 06:19:09,303 : ADMM iteration: 30, Max iteration: 5, r-residual: 1.960570E-2, s-residual: 4.343297E-3, rho: 0.3125, mze: 0.13790227472782135, mae: 0.24219976365566254, time taken 34.43035770000006
2022-06-02 06:19:43,491 : ADMM iteration: 31, Max iteration: 5, r-residual: 1.275460E-2, s-residual: 4.299925E-3, rho: 0.3125, mze: 0.13765698671340942, mae: 0.2419544756412506, time taken 34.12776179999992
2022-06-02 06:20:18,099 : ADMM iteration: 32, Max iteration: 5, r-residual: 1.322271E-2, s-residual: 4.257909E-3, rho: 0.3125, mze: 0.13775509595870972, mae: 0.2420525848865509, time taken 34.53212389999999
2022-06-02 06:20:52,239 : ADMM iteration: 33, Max iteration: 5, r-residual: 1.880456E-2, s-residual: 4.217159E-3, rho: 0.3125, mze: 0.13765698671340942, mae: 0.2419544756412506, time taken 34.07120359999999
2022-06-02 06:21:26,020 : ADMM iteration: 34, Max iteration: 5, r-residual: 2.005351E-2, s-residual: 4.177602E-3, rho: 0.3125, mze: 0.13736264407634735, mae: 0.24166013300418854, time taken 33.735980100000006
2022-06-02 06:21:54,287 : ADMM iteration: 35, Max iteration: 4, r-residual: 1.244932E-2, s-residual: 3.714265E-3, rho: 0.3125, mze: 0.13706828653812408, mae: 0.24136577546596527, time taken 28.20814139999993
2022-06-02 06:22:21,335 : ADMM iteration: 36, Max iteration: 4, r-residual: 8.750505E-3, s-residual: 3.684045E-3, rho: 0.3125, mze: 0.13701923191547394, mae: 0.24131672084331512, time taken 27.000046199999815
2022-06-02 06:22:48,716 : ADMM iteration: 37, Max iteration: 4, r-residual: 1.097117E-2, s-residual: 3.654561E-3, rho: 0.3125, mze: 0.136773943901062, mae: 0.2410714328289032, time taken 27.307096700000102
2022-06-02 06:23:15,649 : ADMM iteration: 38, Max iteration: 4, r-residual: 1.003688E-2, s-residual: 3.625785E-3, rho: 0.3125, mze: 0.13667581975460052, mae: 0.2409733086824417, time taken 26.868892799999912
2022-06-02 06:23:42,751 : ADMM iteration: 39, Max iteration: 4, r-residual: 6.479944E-3, s-residual: 3.597682E-3, rho: 0.3125, mze: 0.13652865588665009, mae: 0.24082614481449127, time taken 27.04813029999991
2022-06-02 06:24:09,980 : ADMM iteration: 40, Max iteration: 4, r-residual: 3.207153E-3, s-residual: 3.570229E-3, rho: 0.3125, mze: 0.1363324224948883, mae: 0.2406299114227295, time taken 27.16145460000007
2022-06-02 06:24:37,371 : ADMM iteration: 41, Max iteration: 4, r-residual: 3.273974E-3, s-residual: 3.543391E-3, rho: 0.3125, mze: 0.1359890103340149, mae: 0.24028649926185608, time taken 27.323116000000027
