iteration,max_iter,r-residual,s_residual,rho,mze,mae,time
0,2,1.11350664155907e-06,0.04977678507566452,5.0,0.4813986122608185,0.9570629596710205,6.1455869000000005
1,2,3.5852083328791196e-06,0.039234574884176254,2.5,0.4496503472328186,0.8935664296150208,5.121615199999999
2,2,8.714924661035184e-06,0.02432059869170189,1.25,0.4158042073249817,0.8258741497993469,5.591142100000001
3,3,2.375437725277152e-05,0.017030827701091766,0.625,0.37804195284843445,0.7503496408462524,6.698674099999998
4,4,6.043728717486374e-05,0.011106807738542557,0.3125,0.3339860141277313,0.6622377634048462,8.0265256
5,8,0.00020536803640425205,0.009861908853054047,0.15625,0.2718881070613861,0.5380419492721558,14.051712799999997
6,14,0.0006313927005976439,0.008117591962218285,0.078125,0.20307692885398865,0.40041959285736084,23.4841019
7,23,0.0017797320615500212,0.006327364593744278,0.078125,0.13818182051181793,0.2706293761730194,37.71233319999999
8,20,0.0016866468358784914,0.005324764642864466,0.078125,0.09986013919115067,0.19398601353168488,35.46575530000001
9,17,0.0014434308977797627,0.004416271112859249,0.078125,0.07846153527498245,0.15118880569934845,29.60480910000001
10,15,0.0012673784513026476,0.00380702898837626,0.078125,0.06545454263687134,0.12517482042312622,24.783012299999996
11,13,0.001116810366511345,0.003245189320296049,0.078125,0.058741260319948196,0.11174824833869934,22.324586100000005
12,11,0.0009744293056428432,0.0027220931369811296,0.078125,0.05482517555356026,0.10391608625650406,19.088343400000014
13,10,0.0008954840595833957,0.0024425971787422895,0.078125,0.05118881165981293,0.0966433584690094,17.17005980000002
14,8,0.000760653056204319,0.0019691300112754107,0.078125,0.04867132753133774,0.09160839021205902,14.130378199999996
15,7,0.0006779493996873498,0.0017248934600502253,0.078125,0.04713286831974983,0.08853147178888321,12.512951900000019
16,6,0.0006017738487571478,0.0014906518626958132,0.078125,0.046293705701828,0.08685314655303955,10.740954199999976
17,5,0.0005245787324383855,0.0012646743562072515,0.078125,0.04601398482918739,0.08629370480775833,9.5105188
18,5,0.0005144100286997855,0.0012492644600570202,0.078125,0.04545454680919647,0.08517482876777649,9.313895800000012
19,4,0.00044578456436283886,0.0010327461641281843,0.078125,0.04433566331863403,0.08293706178665161,7.9399834999999825
20,3,0.00036537961568683386,0.0008213036344386637,0.078125,0.04391608387231827,0.08209790289402008,6.194473500000015
21,2,0.00028140615904703736,0.0006135809817351401,0.078125,0.04321678355336189,0.08069930225610733,4.637158600000021
22,2,0.0002673492708709091,0.0006099040037952363,0.078125,0.04293706268072128,0.08013986051082611,4.736221599999965
23,2,0.0002654661366250366,0.0006062668398953974,0.078125,0.04279720410704613,0.0798601433634758,4.721537600000033
24,2,0.0002658451267052442,0.0006026704795658588,0.078125,0.04251748323440552,0.07930070161819458,4.608419300000037
25,1,0.00019395389244891703,0.0004010563134215772,0.078125,0.042377620935440063,0.07902097702026367,3.1906548000000043
26,1,0.00018160104809794575,0.0003994769067503512,0.078125,0.04223776236176491,0.07874125987291336,3.0634900999999672
27,1,0.00017972817295230925,0.0003979082976002246,0.078125,0.04209790378808975,0.07846153527498245,3.1120181000000002
28,1,0.00017947300511877984,0.0003963525523431599,0.078125,0.0419580414891243,0.07818181812763214,3.0305172999999854
29,1,0.00017983565339818597,0.0003948069061152637,0.078125,0.04181818291544914,0.07790210098028183,3.1405851999999754
30,1,0.0001802854094421491,0.00039327351259998977,0.078125,0.04167832061648369,0.07762237638235092,3.1038299000000507
31,1,0.0001804862404242158,0.0003917506546713412,0.078125,0.04181818291544914,0.07790210098028183,3.1515181000000325
32,1,0.00018076619016937912,0.00039023911813274026,0.078125,0.04167832061648369,0.07762237638235092,3.135077200000012
33,1,0.00018128319061361253,0.0003887386410497129,0.078125,0.04181818291544914,0.07790210098028183,3.096966699999996
34,1,0.00018153275595977902,0.00038724945625290275,0.078125,0.04181818291544914,0.07790210098028183,3.1754388000000517
35,1,0.00018185892258770764,0.000385770428692922,0.078125,0.04167832061648369,0.07762237638235092,3.081499400000041
36,1,0.00018212600843980908,0.0003843021113425493,0.078125,0.04153846204280853,0.07734265923500061,3.1309545999999955
37,1,0.00018249179993290454,0.0003828442422673106,0.078125,0.04139859974384308,0.0770629346370697,3.1389515000000188
38,1,0.00018277922936249524,0.00038139784010127187,0.078125,0.04139859974384308,0.0770629346370697,3.1245079999999916
39,1,0.00018312995962332934,0.00037996104219928384,0.078125,0.04111888259649277,0.07650349289178848,3.0749280999999655
40,1,0.00018341241229791194,0.000378535536583513,0.078125,0.04083916172385216,0.07594405859708786,3.04544420000002
41,1,0.00018355040811002254,0.0003771194606088102,0.078125,0.04083916172385216,0.07594405859708786,3.2259881999999607
42,1,0.00018393617938272655,0.00037571438588202,0.078125,0.04083916172385216,0.07594405859708786,3.217650600000013
43,1,0.00018413578800391406,0.0003743186825886369,0.078125,0.04055944085121155,0.07538461685180664,3.1502947000000177
44,1,0.00018432676733937114,0.0003729333111550659,0.078125,0.04041958227753639,0.07510489225387573,3.185647000000017
