iteration,max_iter,r-residual,s_residual,rho,mze,mae,time
0,8,0.1414220631122589,1.420393943786621,5.0,0.01594405621290207,0.026153845712542534,173.1196488
1,19,,,5.0,0.05006993189454079,0.09440559148788452,403.18381580000005
2,19,,,5.0,0.05006993189454079,0.09440559148788452,378.63749369999994
3,19,,,5.0,0.05006993189454079,0.09440559148788452,364.7462772
4,19,,,5.0,0.05006993189454079,0.09440559148788452,376.83041300000014
5,19,,,5.0,0.05006993189454079,0.09440559148788452,373.6126496999998
6,19,,,5.0,0.05006993189454079,0.09440559148788452,369.4621089000002
7,19,,,5.0,0.05006993189454079,0.09440559148788452,370.24600199999986
8,19,,,5.0,0.05006993189454079,0.09440559148788452,369.9778191999999
9,19,,,5.0,0.05006993189454079,0.09440559148788452,373.02206869999964
10,19,,,5.0,0.05006993189454079,0.09440559148788452,372.33026819999986
11,19,,,5.0,0.05006993189454079,0.09440559148788452,373.02679409999973
12,19,,,5.0,0.05006993189454079,0.09440559148788452,372.5330125999999
13,19,,,5.0,0.05006993189454079,0.09440559148788452,373.51052290000007
14,19,,,5.0,0.05006993189454079,0.09440559148788452,374.9458301000004
15,19,,,5.0,0.05006993189454079,0.09440559148788452,375.0878617999997
16,19,,,5.0,0.05006993189454079,0.09440559148788452,374.47901439999987
17,19,,,5.0,0.05006993189454079,0.09440559148788452,373.8885768
18,19,,,5.0,0.05006993189454079,0.09440559148788452,375.77867570000035
19,19,,,5.0,0.05006993189454079,0.09440559148788452,374.6624759000006
20,19,,,5.0,0.05006993189454079,0.09440559148788452,372.4039337999993
21,19,,,5.0,0.05006993189454079,0.09440559148788452,374.63321280000036
22,19,,,5.0,0.05006993189454079,0.09440559148788452,373.78886370000055
23,19,,,5.0,0.05006993189454079,0.09440559148788452,373.44388909999907
24,19,,,5.0,0.05006993189454079,0.09440559148788452,374.9673461000002
25,19,,,5.0,0.05006993189454079,0.09440559148788452,374.7667627999999
26,19,,,5.0,0.05006993189454079,0.09440559148788452,372.50032140000076
